old_path,new_path,status,detail
P:/BRAIN_DRAIN/Data/06/directed_2009_2014.csv,P:/BRAIN_DRAIN/Data/results/directed_2009_2014.csv,OK,3825 bytes
P:/BRAIN_DRAIN/Data/06/directed_2010_2015.csv,P:/BRAIN_DRAIN/Data/results/directed_2010_2015.csv,OK,3824 bytes
P:/BRAIN_DRAIN/Data/06/directed_2011_2016.csv,P:/BRAIN_DRAIN/Data/results/directed_2011_2016.csv,OK,3848 bytes
P:/BRAIN_DRAIN/Data/06/directed_2012_2017.csv,P:/BRAIN_DRAIN/Data/results/directed_2012_2017.csv,OK,3833 bytes
P:/BRAIN_DRAIN/Data/06/engineering_deg.csv,P:/BRAIN_DRAIN/Data/intermediate/engineering_deg.csv,OK,301888 bytes
P:/BRAIN_DRAIN/Data/06/group_semi_elasticities.csv,P:/BRAIN_DRAIN/Data/results/group_semi_elasticities.csv,OK,14235 bytes
P:/BRAIN_DRAIN/Data/06/institutional_characteristics.csv,P:/BRAIN_DRAIN/Data/intermediate/institutional_characteristics.csv,OK,569517 bytes
P:/BRAIN_DRAIN/Data/06/inst_names.csv,P:/BRAIN_DRAIN/Data/intermediate/inst_names.csv,OK,609782 bytes
P:/BRAIN_DRAIN/Data/06/intercensal.csv,P:/BRAIN_DRAIN/Data/intermediate/intercensal.csv,OK,422700 bytes
P:/BRAIN_DRAIN/Data/06/ipeds_finance_troubleshoot.xlsx,P:/BRAIN_DRAIN/Data/intermediate/ipeds_finance_troubleshoot.xlsx,OK,54966 bytes
P:/BRAIN_DRAIN/Data/06/local_differences.csv,P:/BRAIN_DRAIN/Data/intermediate/local_differences.csv,OK,25514 bytes
